employee_number,eeceeid,eeccoid,first_name,preferred_first_name,last_name,email_address,date_of_birth,original_hire_date,seniority_date,retirement_date,job_code,job_title,job_family_code,employee_type_code,employment_status_code,employment_status,company_code,location_code,org_level_1_code,supervisor_employee_number,supervisor_name,supervisor_email,primary_key,secondary_key,scheduled_fte,termination_date
100001,EE100001,CO003,Emily,Emily,Turner,emily.turner@prairieresources.ca,1981-03-29,2018-01-01,2018-01-01,,71MKT2,Marketing Specialist,MKTG,RFT,T,Terminated,PRMRE,117,110,,,,100001_PRMRE,EE100001_CO003,1.0,2021-02-26
100002,EE100002,CO001,Raymond,Raymond,Cox,raymond.cox@northernpipeline.com,1987-03-17,2018-01-01,2018-01-01,,43SAL3,Senior Account Executive,SALES,TFT,T,Terminated,NRTHP,102,20,102972,"Ruiz, Maria",maria.ruiz@alpineconstruction.com,100002_NRTHP,EE100002_CO001,1.0,2019-05-18
100003,EE100003,CO001,Barbara,Barbara,Liu,barbara.liu@northernpipeline.com,1979-07-19,2018-01-01,2018-01-01,,23ENG6,Director of Engineering,ENGR,RFT,A,Active,NRTHP,122,160,,,,100003_NRTHP,EE100003_CO001,1.0,
100004,EE100004,CO001,Nancy,Nancy,Wood,nancy.wood@northernpipeline.com,1970-07-01,2018-01-02,2018-01-02,,14CSR2,Customer Service Specialist,CSR,RFT,T,Terminated,NRTHP,111,240,100802,"Brown, Laura",laura.brown@alpineconstruction.com,100004_NRTHP,EE100004_CO001,1.0,2021-09-15
100005,EE100005,CO002,Thomas,Thomas,Clark,thomas.clark@westmarkmanufacturing.com,1988-04-11,2018-01-03,2018-01-03,,41SAL1,Sales Representative,SALES,RFT,T,Terminated,WSTMF,108,40,102445,"Roberts, Alexander",alexander.roberts@northernpipeline.com,100005_WSTMF,EE100005_CO002,1.0,2022-09-23
100006,EE100006,CO001,Nathan,Nathan,King,nathan.king@northernpipeline.com,1988-05-11,2018-01-03,2018-01-03,,19ENG2,Engineer,ENGR,RFT,T,Terminated,NRTHP,124,40,,,,100006_NRTHP,EE100006_CO001,1.0,2022-04-14
100007,EE100007,CO004,Gary,Gary,Becker,gary.becker@alpineconstruction.com,1970-07-12,2018-01-04,2018-01-04,,43SAL3,Senior Account Executive,SALES,RFT,A,Active,ALPNC,116,50,,,,100007_ALPNC,EE100007_CO004,1.0,
100008,EE100008,CO003,Yuki,Yuki,Nilsson,yuki.nilsson@prairieresources.ca,1978-02-10,2018-01-04,2018-01-04,,71MKT2,Marketing Specialist,MKTG,RFT,A,Active,PRMRE,123,60,101098,"Hernandez, Mary",mary.hernandez@northernpipeline.com,100008_PRMRE,EE100008_CO003,1.0,
100009,EE100009,CO002,Debra,Debra,Nilsson,debra.nilsson@westmarkmanufacturing.com,1990-07-13,2018-01-05,2018-01-05,,80ANL4,Analytics Lead,ANLYT,RPT,T,Terminated,WSTMF,102,10,,,,100009_WSTMF,EE100009_CO002,0.79,2019-04-07
100010,EE100010,CO001,Pierre,Pierre,Hill,pierre.hill@northernpipeline.com,1980-11-29,2018-01-05,2018-01-05,,51OPS4,Operations Lead,OPS,RPT,T,Terminated,NRTHP,113,150,,,,100010_NRTHP,EE100010_CO001,0.42,2018-04-10
100011,EE100011,CO003,Carolyn,Carolyn,Schmidt,carolyn.schmidt@prairieresources.ca,1990-02-28,2018-01-05,2018-01-05,,61WHS2,Warehouse Clerk,WHSE,RFT,A,Active,PRMRE,123,60,101098,"Hernandez, Mary",mary.hernandez@northernpipeline.com,100011_PRMRE,EE100011_CO003,1.0,
100012,EE100012,CO002,Jason,Jason,Liu,jason.liu@westmarkmanufacturing.com,1990-11-23,2018-01-08,2018-01-08,,79ANL3,Senior Data Analyst,ANLYT,RFT,T,Terminated,WSTMF,104,210,,,,100012_WSTMF,EE100012_CO002,1.0,2019-06-09
100013,EE100013,CO003,Lisa,Lisa,Ward,lisa.ward@prairieresources.ca,1983-10-02,2018-01-08,2018-01-08,,26HR2,HR Generalist,HR,RPT,T,Terminated,PRMRE,100,60,,,,100013_PRMRE,EE100013_CO003,0.73,2020-01-17
